configuration,method,tree_builder,tree_linkage_method,run_id,requested_cases,ok,unsupported,skip,execution_error,mean_ari_on_ok,median_ari_on_ok,mean_nmi_on_ok,exact_k_on_ok,over_split_on_ok,under_split_on_ok
C01,tbs_diffusion_adaptive_nnls,linkage,average,tbs_diffusion_adaptive_nnls::bandwidth_type__1__d_2___branch_length_optimization_max_iterations_1000__branch_length_optimization_method_fixed_topology_nnls__branch_length_optimization_pair_sample_size_50000__branch_length_optimization_random_state_0__branch_length_optimization_solver_tolerance_1e_05__branch_length_optimization_target_metric_squared_standardized_euclidean__diffusion_method_adaptive_pydiffmap_diffusion__diffusion_time_3__edge_branch_length_variance_policy_normalized_branch_length__epsilon_median__k_neighbors_10__metric_hamming__n_components_30__tree_linkage_method_average,122,5,96,21,0,0.2,0.0,0.2,1,0,4
C02,tbs_diffusion_graphtools_nnls,linkage,average,tbs_diffusion_graphtools_nnls::anisotropy_0_0__branch_length_optimization_max_iterations_1000__branch_length_optimization_method_fixed_topology_nnls__branch_length_optimization_pair_sample_size_50000__branch_length_optimization_random_state_0__branch_length_optimization_solver_tolerance_1e_05__branch_length_optimization_target_metric_squared_standardized_euclidean__decay_40__diffusion_method_graphtools_kernel_diffusion__diffusion_time_3__edge_branch_length_variance_policy_normalized_branch_length__k_neighbors_10__kernel_symm____metric_hamming__n_components_30__random_state_0__tree_builder_linkage__tree_linkage_method_average__tree_rooting_linkage_root,122,15,107,0,0,0.2666666666666666,0.0,0.2666666666666666,4,0,11
C03,tbs_diffusion_graphtools_adaptive_nnls,linkage,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,122,15,107,0,0,0.2666666666666666,0.0,0.2666666666666666,4,0,11
C04,tbs_diffusion_graphtools_adaptive_nnls,linkage,complete,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,122,14,108,0,0,0.2857142857142857,0.0,0.2857142857142857,4,0,10
C05,tbs_diffusion_graphtools_adaptive_nnls,linkage,weighted,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,122,16,106,0,0,0.25,0.0,0.25,4,0,12
C06,tbs_diffusion_graphtools_adaptive_nnls,linkage,single,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,122,28,94,0,0,0.2142857142857142,0.0,0.2142857142857142,6,0,22
C07,tbs_diffusion_graphtools_adaptive_nnls,linkage,centroid,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,122,14,9,0,99,0.2857142857142857,0.0,0.2857142857142857,4,0,10
C08,tbs_diffusion_graphtools_adaptive_nnls,linkage,median,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,122,14,17,0,91,0.2857142857142857,0.0,0.2857142857142857,4,0,10
C09,tbs_diffusion_graphtools_adaptive_nnls,linkage,ward,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,122,14,108,0,0,0.2857142857142857,0.0,0.2857142857142857,4,0,10
C10,tbs_diffusion_graphtools_adaptive_nnls,neighbor_joining,average,tbs_diffusion_graphtools_adaptive_nnls::graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,122,2,104,0,16,0.5,0.5,0.5,1,0,1
