source,configuration,method,tree_builder,tree_linkage_method,rows,ok,unsupported,skip,mean_ari_on_ok
run_20260801_130648Z_full_post_crossfit,C01,tbs_diffusion_adaptive_nnls,linkage,average,121,100,0,21,0.7733630489166867
run_20260706_170815Z_full_graphtools_tree_consensus,C03,tbs_diffusion_graphtools_adaptive_nnls,linkage,average,121,117,0,4,0.7432669330096614
run_20260706_170815Z_full_graphtools_tree_consensus,C04,tbs_diffusion_graphtools_adaptive_nnls,linkage,complete,121,115,0,6,0.728065227368345
run_20260706_170815Z_full_graphtools_tree_consensus,C05,tbs_diffusion_graphtools_adaptive_nnls,linkage,weighted,121,118,0,3,0.7499520547357352
run_20260706_170815Z_full_graphtools_tree_consensus,C06,tbs_diffusion_graphtools_adaptive_nnls,linkage,single,121,119,0,2,0.7164809925654558
run_20260706_170815Z_full_graphtools_tree_consensus,C07,tbs_diffusion_graphtools_adaptive_nnls,linkage,centroid,121,118,0,3,0.7482463642196814
run_20260706_170815Z_full_graphtools_tree_consensus,C08,tbs_diffusion_graphtools_adaptive_nnls,linkage,median,121,119,0,2,0.7297946482106356
run_20260706_170815Z_full_graphtools_tree_consensus,C09,tbs_diffusion_graphtools_adaptive_nnls,linkage,ward,121,113,0,8,0.7510300860109953
run_20260706_170815Z_full_graphtools_tree_consensus,C10,tbs_diffusion_graphtools_adaptive_nnls,neighbor_joining,average,121,106,0,15,0.799965172167403
run_20260630_130921Z_full,C02,tbs_diffusion_graphtools_nnls,linkage,average,121,117,0,4,0.741645385110991
run_20260811_selected_law_variants_full,C01,tbs_diffusion_adaptive_nnls,linkage,average,122,5,96,21,0.2
