source,configuration,case_id,old_status,current_status,old_ari,current_ari,old_found_clusters,current_found_clusters,identical_recorded_params,parameter_differences,matching_samples_features_truth,matching_source_representation
run_20260801_130648Z_full_post_crossfit,C01,gauss_extreme_noise_3c,ok,unsupported,1.0,,3,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_extreme_noise_many,ok,unsupported,1.0,,30,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_clear_small,ok,unsupported,1.0,,3,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_clear_medium,ok,unsupported,0.829971181556196,,6,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_clear_large,ok,unsupported,1.0,,5,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_moderate_3c,ok,unsupported,1.0,,3,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_moderate_5c,ok,unsupported,1.0,,5,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_noisy_3c,ok,unsupported,1.0,,3,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_noisy_many,ok,unsupported,1.0,,8,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_null_small,ok,unsupported,1.0,,1,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_null_large,ok,ok,1.0,1.0,1,1,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_clear_medium_continuous,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_moderate_3c_continuous,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_null_large_continuous,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,dim_consolidated_4c_24f,ok,unsupported,0.5298028928480344,,7,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,dim_consolidated_4c_72f,ok,unsupported,-0.0083613817537643,,2,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,dim_consolidated_4c_272f,ok,unsupported,0.0153270173835093,,60,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,dim_diffuse_6c_36f,ok,unsupported,0.0316432964697783,,7,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,dim_diffuse_6c_136f,ok,unsupported,0.0293879041298343,,4,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,dim_diffuse_6c_536f,ok,unsupported,-0.0042046026476466,,2,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,dim_consolidated_4c_24f_continuous,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,dim_consolidated_4c_72f_continuous,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,dim_diffuse_6c_136f_continuous,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_single_outlier_4c,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_outlier_cluster_4c,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_outlier_shell_4c,ok,ok,0.0,0.0,1,1,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_single_outlier_4c_continuous,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,gauss_outlier_cluster_4c_continuous,skip,skip,,,0,0,True,{},True,True
run_20260801_130648Z_full_post_crossfit,C01,binary_balanced_low_noise,ok,unsupported,1.0,,4,0,True,{},True,True
