case_id,ari_diffusion_nnls,ari_tbs,ari_change,found_clusters_diffusion_nnls,found_clusters_tbs
gauss_extreme_noise_3c,1.0,1.0,0.0,3,3
gauss_extreme_noise_highd,0.0,0.0,0.0,1,1
gauss_extreme_noise_many,1.0,0.0,1.0,30,1
gauss_clear_small,1.0,1.0,0.0,3,3
gauss_clear_medium,0.829971181556196,1.0,-0.17002881844380402,6,4
gauss_clear_large,1.0,1.0,0.0,5,5
gauss_moderate_3c,1.0,0.56,0.43999999999999995,3,2
gauss_moderate_5c,1.0,1.0,0.0,5,5
gauss_noisy_3c,1.0,0.9526358041209526,0.04736419587904739,3,4
gauss_noisy_many,1.0,0.9567926539312944,0.04320734606870558,8,10
gauss_null_small,1.0,1.0,0.0,1,1
gauss_null_large,1.0,1.0,0.0,1,1
dim_consolidated_4c_24f,0.5298028928480344,0.3656435110393107,0.1641593818087237,7,12
dim_consolidated_4c_72f,-0.0083613817537643,0.0009785802922182,-0.009339962045982501,2,2
dim_consolidated_4c_272f,0.0153270173835093,-0.0082275170019498,0.0235545343854591,60,2
dim_diffuse_6c_36f,0.0316432964697783,0.0,0.0316432964697783,7,1
dim_diffuse_6c_136f,0.0293879041298343,0.0132456629412952,0.0161422411885391,4,2
dim_diffuse_6c_536f,-0.0042046026476466,-0.0049122807017543,0.0007076780541076999,2,2
gauss_outlier_shell_4c,0.0,0.97160982710024,-0.97160982710024,1,10
binary_balanced_low_noise,1.0,0.962424205767166,0.03757579423283397,4,4
binary_balanced_low_noise__2,1.0,0.0,1.0,4,1
sparse_features_72x72,1.0,1.0,0.0,4,4
sparse_features_100x500,1.0,1.0,0.0,4,4
binary_low_noise_2c,0.5562579013906448,0.4589114194236926,0.09734648196695217,5,12
binary_low_noise_4c,0.9429190751445088,0.919692522072849,0.023226553071659772,5,7
binary_low_noise_8c,1.0,1.0,0.0,8,8
binary_low_noise_12c,1.0,1.0,0.0,12,12
binary_moderate_4c,1.0,1.0,0.0,4,4
binary_moderate_6c,1.0,1.0,0.0,6,6
binary_moderate_8c,1.0,1.0,0.0,8,8
binary_hard_4c,1.0,1.0,0.0,4,4
binary_hard_8c,1.0,1.0,0.0,8,8
binary_unbalanced_low,1.0,1.0,0.0,4,4
binary_unbalanced_med,1.0,1.0,0.0,6,6
binary_2clusters,1.0,1.0,0.0,2,2
binary_many_features,1.0,0.0,1.0,4,1
binary_many_clusters,1.0,1.0,0.0,15,15
binary_multiscale_4c,1.0,1.0,0.0,4,4
binary_multiscale_6c,1.0,1.0,0.0,6,6
binary_noise_feat_50i_200n,1.0,1.0,0.0,4,4
binary_noise_feat_80i_400n,1.0,0.0,1.0,6,1
binary_noise_feat_30i_500n,1.0,0.0,1.0,3,1
sbm_clear_small,0.8688989349475136,0.93331545372694,-0.06441651877942645,2,2
sbm_moderate,0.0,0.0995072113659247,-0.0995072113659247,1,8
sbm_hard,0.0,-0.0085638062552786,0.0085638062552786,1,4
cat_clear_3cat_4c,1.0,0.7079646017699115,0.2920353982300885,4,3
cat_clear_4cat_4c,1.0,1.0,0.0,4,4
cat_clear_5cat_6c,0.8185140073081608,0.9837791962248472,-0.1652651889166864,5,6
