configuration,case_id,source_family,feature_representation,samples,features,true_clusters,found_clusters,status,ari,nmi,unsupported_reason_code,unsupported_admissible_support_count,skip_reason,error
C01,bar_binary_balanced_4c,binary_template,binary,160.0,200.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,14.0,,
C01,bar_binary_unbalanced_95_5,binary_template,binary,200.0,200.0,4.0,,unsupported,,,empirical_null_no_internal_support,0.0,,
C01,binary_2clusters,binary_template,binary,50.0,60.0,2.0,,unsupported,,,empirical_null_unvalidated_reference_law,47.0,,
C01,binary_balanced_low_noise,binary_template,binary,72.0,72.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,45.0,,
C01,binary_balanced_low_noise__2,binary_template,binary,72.0,120.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,53.0,,
C01,binary_hard_4c,binary_template,binary,100.0,200.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,46.0,,
C01,binary_hard_8c,binary_template,binary,280.0,400.0,8.0,,unsupported,,,empirical_null_unvalidated_reference_law,196.0,,
C01,binary_low_noise_12c,binary_template,binary,240.0,300.0,12.0,,unsupported,,,empirical_null_unvalidated_reference_law,147.0,,
C01,binary_low_noise_2c,binary_template,binary,40.0,50.0,2.0,,unsupported,,,empirical_null_unvalidated_reference_law,33.0,,
C01,binary_low_noise_4c,binary_template,binary,80.0,100.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,68.0,,
C01,binary_low_noise_8c,binary_template,binary,160.0,200.0,8.0,,unsupported,,,empirical_null_unvalidated_reference_law,139.0,,
C01,binary_many_clusters,binary_template,binary,300.0,400.0,15.0,,unsupported,,,empirical_null_unvalidated_reference_law,207.0,,
C01,binary_many_features,binary_template,binary,100.0,2000.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,24.0,,
C01,binary_moderate_4c,binary_template,binary,80.0,100.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,58.0,,
C01,binary_moderate_6c,binary_template,binary,120.0,150.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,99.0,,
C01,binary_moderate_8c,binary_template,binary,200.0,250.0,8.0,,unsupported,,,empirical_null_unvalidated_reference_law,155.0,,
C01,binary_multiscale_4c,binary_template,binary,120.0,160.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,90.0,,
C01,binary_multiscale_6c,binary_template,binary,180.0,240.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,161.0,,
C01,binary_noise_feat_30i_500n,binary_template,binary,100.0,1030.0,3.0,,unsupported,,,empirical_null_unvalidated_reference_law,48.0,,
C01,binary_noise_feat_50i_200n,binary_template,binary,120.0,450.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,69.0,,
C01,binary_noise_feat_80i_400n,binary_template,binary,160.0,880.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,63.0,,
C01,binary_null_medium,binary_template,binary,200.0,150.0,1.0,,skip,,,,,"tbs_diffusion_adaptive_nnls uses pydiffmap variable-bandwidth diffusion, but the largest exact duplicate block has 200 rows. pydiffmap's internal NNKDE query size is 8, which can produce zero local bandwidths and non-finite diffusion weights.",
C01,binary_null_small,binary_template,binary,60.0,80.0,1.0,,skip,,,,,"tbs_diffusion_adaptive_nnls uses pydiffmap variable-bandwidth diffusion, but the largest exact duplicate block has 60 rows. pydiffmap's internal NNKDE query size is 8, which can produce zero local bandwidths and non-finite diffusion weights.",
C01,binary_perfect_2c,binary_template,binary,40.0,50.0,2.0,,skip,,,,,"tbs_diffusion_adaptive_nnls uses pydiffmap variable-bandwidth diffusion, but the largest exact duplicate block has 19 rows. pydiffmap's internal NNKDE query size is 8, which can produce zero local bandwidths and non-finite diffusion weights.",
C01,binary_perfect_4c,binary_template,binary,80.0,100.0,4.0,,skip,,,,,"tbs_diffusion_adaptive_nnls uses pydiffmap variable-bandwidth diffusion, but the largest exact duplicate block has 20 rows. pydiffmap's internal NNKDE query size is 8, which can produce zero local bandwidths and non-finite diffusion weights.",
C01,binary_perfect_8c,binary_template,binary,160.0,200.0,8.0,,skip,,,,,"tbs_diffusion_adaptive_nnls uses pydiffmap variable-bandwidth diffusion, but the largest exact duplicate block has 20 rows. pydiffmap's internal NNKDE query size is 8, which can produce zero local bandwidths and non-finite diffusion weights.",
C01,binary_unbalanced_low,binary_template,binary,100.0,150.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,70.0,,
C01,binary_unbalanced_med,binary_template,binary,150.0,200.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,63.0,,
C01,cat_clear_3cat_4c,categorical_multinomial,categorical_one_hot,100.0,150.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,75.0,,
C01,cat_clear_4cat_4c,categorical_multinomial,categorical_one_hot,100.0,200.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,82.0,,
C01,cat_clear_5cat_6c,categorical_multinomial,categorical_one_hot,150.0,400.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,83.0,,
C01,cat_dirichlet_overdispersed_20cat,categorical_dirichlet_multinomial,categorical_one_hot,240.0,1200.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,28.0,,
C01,cat_highcard_10cat_4c,categorical_multinomial,categorical_one_hot,200.0,500.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,149.0,,
C01,cat_highcard_20cat_4c,categorical_multinomial,categorical_one_hot,200.0,800.0,4.0,,unsupported,,,empirical_null_no_internal_support,0.0,,
C01,cat_highd_3cat_500feat,categorical_multinomial,categorical_one_hot,200.0,1500.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,4.0,,
C01,cat_highd_4cat_1000feat,categorical_multinomial,categorical_one_hot,300.0,4000.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,138.0,,
C01,cat_mod_3cat_4c,categorical_multinomial,categorical_one_hot,120.0,180.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,81.0,,
C01,cat_mod_4cat_6c,categorical_multinomial,categorical_one_hot,180.0,400.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,95.0,,
C01,cat_overlap_3cat_4c,categorical_multinomial,categorical_one_hot,400.0,300.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,351.0,,
C01,cat_simplex_face_rare_20cat,categorical_dirichlet_multinomial,categorical_one_hot,240.0,1200.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,100.0,,
C01,cat_unbal_3cat_4c,categorical_multinomial,categorical_one_hot,150.0,180.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,119.0,,
C01,cont_lowrank_pggn_shrinkage,continuous_low_rank_factor,continuous,80.0,2000.0,4.0,,skip,,,,,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,
C01,dim_consolidated_4c_24f,dimensional_gaussian,median_binary,160.0,24.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,112.0,,
C01,dim_consolidated_4c_24f_continuous,dimensional_gaussian,continuous,160.0,24.0,4.0,,skip,,,,,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,
C01,dim_consolidated_4c_272f,dimensional_gaussian,median_binary,160.0,272.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,7.0,,
C01,dim_consolidated_4c_72f,dimensional_gaussian,median_binary,160.0,72.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,22.0,,
C01,dim_consolidated_4c_72f_continuous,dimensional_gaussian,continuous,160.0,72.0,4.0,,skip,,,,,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,
C01,dim_diffuse_6c_136f,dimensional_gaussian,median_binary,180.0,136.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,18.0,,
C01,dim_diffuse_6c_136f_continuous,dimensional_gaussian,continuous,180.0,136.0,6.0,,skip,,,,,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,
C01,dim_diffuse_6c_36f,dimensional_gaussian,median_binary,180.0,36.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,86.0,,
C01,dim_diffuse_6c_536f,dimensional_gaussian,median_binary,180.0,536.0,6.0,,unsupported,,,empirical_null_unvalidated_reference_law,4.0,,
C01,gauss_clear_large,gaussian_blobs,median_binary,100.0,80.0,5.0,,unsupported,,,empirical_null_unvalidated_reference_law,94.0,,
C01,gauss_clear_medium,gaussian_blobs,median_binary,60.0,40.0,4.0,,unsupported,,,empirical_null_unvalidated_reference_law,54.0,,
C01,gauss_clear_medium_continuous,gaussian_blobs,continuous,60.0,40.0,4.0,,skip,,,,,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,
C01,gauss_clear_small,gaussian_blobs,median_binary,30.0,20.0,3.0,,unsupported,,,empirical_null_unvalidated_reference_law,27.0,,
C01,gauss_dense_signal_highd,gaussian_blobs,median_binary,40.0,20000.0,4.0,,unsupported,,,empirical_null_no_internal_support,0.0,,
C01,gauss_dense_signal_highd_continuous,gaussian_blobs,continuous,40.0,20000.0,4.0,,skip,,,,,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,
C01,gauss_extreme_noise_3c,gaussian_blobs,median_binary,30.0,30.0,3.0,,unsupported,,,empirical_null_unvalidated_reference_law,23.0,,
C01,gauss_extreme_noise_many,gaussian_blobs,median_binary,300.0,2000.0,30.0,,unsupported,,,empirical_null_unvalidated_reference_law,18.0,,
C01,gauss_moderate_3c,gaussian_blobs,median_binary,45.0,30.0,3.0,,unsupported,,,empirical_null_unvalidated_reference_law,41.0,,
C01,gauss_moderate_3c_continuous,gaussian_blobs,continuous,45.0,30.0,3.0,,skip,,,,,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,
C01,gauss_moderate_5c,gaussian_blobs,median_binary,75.0,50.0,5.0,,unsupported,,,empirical_null_unvalidated_reference_law,70.0,,
C01,gauss_noisy_3c,gaussian_blobs,median_binary,60.0,40.0,3.0,,unsupported,,,empirical_null_unvalidated_reference_law,49.0,,
C01,gauss_noisy_many,gaussian_blobs,median_binary,120.0,80.0,8.0,,unsupported,,,empirical_null_unvalidated_reference_law,102.0,,
C01,gauss_null_large,gaussian_blobs,median_binary,200.0,80.0,1.0,1.0,ok,1.0,1.0,,,,
C01,gauss_null_large_continuous,gaussian_blobs,continuous,200.0,80.0,1.0,,skip,,,,,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,
C01,gauss_null_small,gaussian_blobs,median_binary,60.0,30.0,1.0,,unsupported,,,empirical_null_unvalidated_reference_law,44.0,,
C01,gauss_outlier_cluster_4c,gaussian_outliers,median_binary,166.0,40.0,5.0,,skip,,,,,"tbs_diffusion_adaptive_nnls uses pydiffmap variable-bandwidth diffusion, but the largest exact duplicate block has 9 rows. pydiffmap's internal NNKDE query size is 8, which can produce zero local bandwidths and non-finite diffusion weights.",
C01,gauss_outlier_cluster_4c_continuous,gaussian_outliers,continuous,166.0,40.0,5.0,,skip,,,,,tbs_diffusion_adaptive_nnls uses Hamming diffusion and requires binary or one-hot feature matrices; continuous FeatureSpace inputs are unsupported.,
C01,gauss_outlier_shell_4c,gaussian_outliers,median_binary,172.0,40.0,5.0,1.0,ok,0.0,0.0,,,,
C01,gauss_overlap_3c_small,gaussian_blobs,median_binary,300.0,30.0,3.0,,unsupported,,,empirical_null_unvalidated_reference_law,255.0,,
C01,gauss_overlap_3c_small_q3,gaussian_blobs,quantile_one_hot,300.0,90.0,3.0,,unsupported,,,empirical_null_unvalidated_reference_law,262.0,,
C01,gauss_overlap_3c_small_q4,gaussian_blobs,quantile_one_hot,300.0,120.0,3.0,,unsupported,,,empirical_null_unvalidated_reference_law,258.0,,
C01,gauss_overlap_3c_small_q5,gaussian_blobs,quantile_one_hot,300.0,150.0,3.0,,unsupported,,,empirical_null_unvalidated_reference_law,200.0,,
