configuration,feature_representation,requested,ok,unsupported,skip,execution_error,mean_ari_on_ok
C01,binary,47,1,41,5,0,0.0
C01,categorical_one_hot,26,0,25,1,0,
C01,continuous,13,0,0,13,0,
C01,graph_adjacency,3,2,1,0,0,0.0
C01,median_binary,30,2,26,2,0,0.5
C01,quantile_one_hot,3,0,3,0,0,
C02,binary,47,3,44,0,0,0.6666666666666666
C02,categorical_one_hot,26,0,26,0,0,
C02,continuous,13,11,2,0,0,0.18181818181818182
C02,graph_adjacency,3,1,2,0,0,0.0
C02,median_binary,30,0,30,0,0,
C02,quantile_one_hot,3,0,3,0,0,
C03,binary,47,3,44,0,0,0.6666666666666666
C03,categorical_one_hot,26,0,26,0,0,
C03,continuous,13,11,2,0,0,0.18181818181818182
C03,graph_adjacency,3,1,2,0,0,0.0
C03,median_binary,30,0,30,0,0,
C03,quantile_one_hot,3,0,3,0,0,
C04,binary,47,2,45,0,0,1.0
C04,categorical_one_hot,26,0,26,0,0,
C04,continuous,13,11,2,0,0,0.18181818181818182
C04,graph_adjacency,3,1,2,0,0,0.0
C04,median_binary,30,0,30,0,0,
C04,quantile_one_hot,3,0,3,0,0,
C05,binary,47,3,44,0,0,0.6666666666666666
C05,categorical_one_hot,26,0,26,0,0,
C05,continuous,13,11,2,0,0,0.18181818181818182
C05,graph_adjacency,3,2,1,0,0,0.0
C05,median_binary,30,0,30,0,0,
C05,quantile_one_hot,3,0,3,0,0,
C06,binary,47,7,40,0,0,0.2857142857142857
C06,categorical_one_hot,26,1,25,0,0,0.0
C06,continuous,13,11,2,0,0,0.18181818181818182
C06,graph_adjacency,3,1,2,0,0,0.0
C06,median_binary,30,8,22,0,0,0.25
C06,quantile_one_hot,3,0,3,0,0,
C07,binary,47,2,3,0,42,1.0
C07,categorical_one_hot,26,0,1,0,25,
C07,continuous,13,12,1,0,0,0.16666666666666666
C07,graph_adjacency,3,0,0,0,3,
C07,median_binary,30,0,4,0,26,
C07,quantile_one_hot,3,0,0,0,3,
C08,binary,47,2,5,0,40,1.0
C08,categorical_one_hot,26,0,5,0,21,
C08,continuous,13,12,1,0,0,0.16666666666666666
C08,graph_adjacency,3,0,0,0,3,
C08,median_binary,30,0,6,0,24,
C08,quantile_one_hot,3,0,0,0,3,
C09,binary,47,2,45,0,0,1.0
C09,categorical_one_hot,26,0,26,0,0,
C09,continuous,13,11,2,0,0,0.18181818181818182
C09,graph_adjacency,3,1,2,0,0,0.0
C09,median_binary,30,0,30,0,0,
C09,quantile_one_hot,3,0,3,0,0,
C10,binary,47,1,45,0,1,1.0
C10,categorical_one_hot,26,0,26,0,0,
C10,continuous,13,0,0,0,13,
C10,graph_adjacency,3,1,2,0,0,0.0
C10,median_binary,30,0,28,0,2,
C10,quantile_one_hot,3,0,3,0,0,
