case_id,seed,method,variant,sibling_alpha,edge_alpha,status,true_clusters,found_clusters,ari,unsupported_reason,admissible_support_count,data_sha256,tree_branch_lengths_sha256,elapsed_seconds,execution_kind,skip_reason
gauss_clear_small,100,tbs_diffusion_adaptive_nnls,production,0.01,0.001,unsupported,3,,,empirical_null_unvalidated_reference_law,27.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,67df26589148deb202ba61a37ea48d0ed4a0efb7a79d22ddedcc849ec32e8f60,0.3325167909933952,method_run,
gauss_clear_small,100,tbs_diffusion_adaptive_nnls,status_rule_bypassed,0.01,0.001,ok,3,1.0,0.0,,27.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,67df26589148deb202ba61a37ea48d0ed4a0efb7a79d22ddedcc849ec32e8f60,0.0550096670049242,method_run,
gauss_clear_small,100,tbs_diffusion_adaptive_nnls,fixed_coordinate_bh,0.005,0.001,ok,3,3.0,1.0,,0.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,67df26589148deb202ba61a37ea48d0ed4a0efb7a79d22ddedcc849ec32e8f60,0.0512407500064,method_run,
gauss_clear_small,100,tbs_diffusion_adaptive_nnls,fixed_coordinate_bh,0.01,0.001,ok,3,3.0,1.0,,0.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,67df26589148deb202ba61a37ea48d0ed4a0efb7a79d22ddedcc849ec32e8f60,0.0511642500059679,method_run,
gauss_clear_small,100,tbs_diffusion_adaptive_nnls,fixed_coordinate_bh,0.05,0.001,ok,3,3.0,1.0,,0.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,67df26589148deb202ba61a37ea48d0ed4a0efb7a79d22ddedcc849ec32e8f60,0.0522225830063689,method_run,
gauss_clear_small,100,tbs_diffusion_adaptive_nnls,fixed_coordinate_by,0.005,0.001,ok,3,3.0,1.0,,0.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,67df26589148deb202ba61a37ea48d0ed4a0efb7a79d22ddedcc849ec32e8f60,0.0532117920083692,method_run,
gauss_clear_small,100,tbs_diffusion_adaptive_nnls,fixed_coordinate_by,0.01,0.001,ok,3,3.0,1.0,,0.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,67df26589148deb202ba61a37ea48d0ed4a0efb7a79d22ddedcc849ec32e8f60,0.0519592920027207,method_run,
gauss_clear_small,100,tbs_diffusion_adaptive_nnls,fixed_coordinate_by,0.05,0.001,ok,3,3.0,1.0,,0.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,67df26589148deb202ba61a37ea48d0ed4a0efb7a79d22ddedcc849ec32e8f60,0.051587791997008,method_run,
gauss_clear_small,100,tbs_diffusion_graphtools_nnls,production,0.01,0.001,unsupported,3,,,empirical_null_unvalidated_reference_law,27.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,2f2f9e89585b07883a539d8305d9c1ad1ecbad47bfe6ebfbb58708ecdf236d60,1.1912665000127165,method_run,
gauss_clear_small,100,tbs_diffusion_graphtools_nnls,status_rule_bypassed,0.01,0.001,ok,3,1.0,0.0,,27.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,2f2f9e89585b07883a539d8305d9c1ad1ecbad47bfe6ebfbb58708ecdf236d60,0.0510755830036941,method_run,
gauss_clear_small,100,tbs_diffusion_graphtools_nnls,fixed_coordinate_bh,0.005,0.001,ok,3,3.0,1.0,,0.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,2f2f9e89585b07883a539d8305d9c1ad1ecbad47bfe6ebfbb58708ecdf236d60,0.0508680000057211,method_run,
gauss_clear_small,100,tbs_diffusion_graphtools_nnls,fixed_coordinate_bh,0.01,0.001,ok,3,3.0,1.0,,0.0,c2f623d5ca68b5b2bc9fcde5df0b3cd077060665565781fdc91f1c72f09b865a,2f2f9e89585b07883a539d8305d9c1ad1ecbad47bfe6ebfbb58708ecdf236d60,0.0489728749962523,method_run,
