configuration,unsupported_reason_code,count
C01,empirical_null_no_internal_support,4
C01,empirical_null_unvalidated_reference_law,92
C10,empirical_null_unvalidated_reference_law,104
C03,empirical_null_no_internal_support,5
C03,empirical_null_unvalidated_reference_law,102
C07,empirical_null_no_internal_support,3
C07,empirical_null_unvalidated_reference_law,6
C04,empirical_null_no_internal_support,7
C04,empirical_null_unvalidated_reference_law,101
C08,empirical_null_no_internal_support,3
C08,empirical_null_unvalidated_reference_law,14
C06,empirical_null_no_internal_support,3
C06,empirical_null_unvalidated_reference_law,91
C09,empirical_null_no_internal_support,9
C09,empirical_null_unvalidated_reference_law,99
C05,empirical_null_no_internal_support,4
C05,empirical_null_unvalidated_reference_law,102
C02,empirical_null_no_internal_support,5
C02,empirical_null_unvalidated_reference_law,102
